GCA_009995765.1,Ma_W11_06
GCA_007096105.1,Mw_QC_B_20070930_S4D
GCA_007096035.1,Mw_QC_S_20081001_S30D
GCA_007096765.1,Mp_MB_F_20080800_S26D
GCA_014218745.1,Ma_BLCCF108
GCA_001264245.1,Mp_FACHB_1757
GCA_007095565.1,Msp_OC_Ca_00000000_S217Cul
GCA_007095695.1,Ma_AC_P_19900807_S300
GCA_002095975.1,Ma_PCC7806SL
GCA_015207925.1,Msp_LEGE00066
GCA_003730145.1,Ma_FACHB_524
GCA_008257445.1,Ma_KLA2
GCA_009996025.1,Ma_L311_01
GCA_002282945.1,Ma_LE3
GCA_015207885.1,Ma_LEGE00239
GCF_010196425.1,Ma_NIES_298
GCA_004305995.1,Ma_NIES_4285
GCA_001725075.1,Ma_NIES_98
GCA_000312205.1,Ma_PCC7941
GCA_000307995.2,Ma_PCC9432
GCA_000312245.1,Ma_PCC9808
GCA_000330925.1,Ma_TAIHU98
GCA_007095705.1,Msp_OC_L_20101000_S702
GCA_014698335.1,Mv_FACHB_1342
GCA_009995925.1,Ma_LG13_12
GCA_009995845.1,Ma_LG13_13
GCA_014696875.1,Mw_FACHB_1317
GCA_000787675.1,Ma_NIES_44
GCA_007095665.1,Ma_OC_H_19870700_S124
GCA_014696215.1,Mw_FACHB_1339
GCA_009811835.1,Ma_NIES_3804
GCA_000312725.1,Ma_PCC9806
GCA_003206625.1,Ma_NIES_1211
GCA_008579225.1,Ma_NIES_2519
GCA_008579565.1,Ma_NIES_2522
GCA_008579685.1,Ma_NIES_4264
GCF_003019735.1,Msp_MC19
GCA_000297435.1,Msp_T1_4
GCA_000312285.1,Ma_PCC9701
GCA_007095605.1,Mf_QC_C_20070823_S18D
GCA_008579445.1,Ma_NIES_2521
GCA_000981785.2,Ma_NIES_2549
GCA_009811815.1,Ma_NIES_3787
GCA_009811855.1,Ma_NIES_3806
GCA_009811875.1,Ma_NIES_3807
GCA_009996525.1,Ma_BK11_02
GCA_009996535.1,Ma_BS11_05
GCA_009996415.1,Ma_BS13_10
GCA_009996445.1,Ma_G11_04
GCA_009996365.1,Ma_G11_09
GCA_009996325.1,Ma_G13_01
GCA_009996285.1,Ma_G13_05
GCA_009996305.1,Ma_G13_07
GCA_009996255.1,Ma_G13_09
GCA_009996235.1,Ma_G13_10
GCA_009996195.1,Ma_G13_11
GCA_009996205.1,Ma_G13_12
GCA_009996145.1,Ma_K13_07
GCA_009996095.1,Ma_L111_01
GCA_009995995.1,Ma_LE13_04
GCA_009995855.1,Ma_LL11_07
GCA_009995885.1,Ma_LL13_03
GCA_009995895.1,Ma_LL13_06
GCA_007095915.1,Ma_QC_Ch_20071001_S25D
GCA_009995785.1,Ma_S11_05
GCA_009995725.1,Ma_SX13_11
GCA_009995625.1,Ma_W13_16
GCA_009995635.1,Ma_W13_18
GCA_007095505.1,Msp_QC_C_20170808_M3Col
GCA_007990565.1,Ma_11_30S32
GCA_014218765.1,Ma_BLCCF158
GCA_009996485.1,Ma_BS13_02
GCA_009996455.1,Ma_F13_15
GCA_009792235.1,Ma_FD4
GCA_009996165.1,Ma_K13_06
GCA_009996105.1,Ma_K13_10
GCA_002025445.1,Ma_KW
GCA_009996085.1,Ma_L211_07
GCA_009996045.1,Ma_L211_101
GCA_015207115.1,Ma_LEGE11464
GCA_015206885.1,Ma_LEGE91341
GCA_009995945.1,Ma_LG13_11
GCA_007095855.1,Ma_MB_F_20061100_S20D
GCA_007095795.1,Ma_MB_S_20031200_S102D
GCA_008579325.1,Ma_NIES_2520
GCA_008974145.1,Ma_NIES_4325
GCA_000010625.1,Ma_NIES_843
GCA_002933835.1,Ma_NIES_87
GCA_019704275.1,Ma_NIES_88
GCA_000312185.1,Ma_PCC9443
GCA_000312165.1,Ma_PCC9717
GCA_000312225.1,Ma_PCC9807
GCA_000312265.1,Ma_PCC9809
GCA_007095475.1,Ma_QC_C_20070703_M131
GCA_007095785.1,Ma_SC_T_19800800_S464
GCA_003206555.1,Ma_Sj
GCA_009995705.1,Ma_W13_11
GCA_014698375.1,Mf_FACHB_1344
GCA_007096485.1,Mn_MB_F_20050700_S1D
GCA_003112475.1,Msp_0824
GCA_007095495.1,Msp_QC_C_20170808_M9Col
GCF_003945305.1,Mv_NIES_102
GCA_007096555.1,Mw_MB_S_20031200_S109D
GCA_020245265.1,M19BS1
GCA_020245285.1,M31BS1
GCA_020245465.1,M087S2
GCA_020245605.1,M061S2
GCA_020245625.1,M049S2
GCA_020245635.1,M046S2
GCA_020245655.1,M045S2
GCA_020245755.1,M034S2
GCA_020245785.1,M025S2
GCA_020245805.1,M179S2
GCA_020245865.1,M169S2
GCA_020246295.1,M090S1
GCA_020246945.1,M113S1
GCA_020244565.1,M62BS1
GCA_020244815.1,M04BS1